"contract_id","lane","file","line","control_type","control_id","control_label","handlers","action_class","backend_slots","data_effect","preconditions","postconditions","current_status","priority","target_state"
"NP02-0011","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2633","ModernComboBox","statusCombo","statusCombo","onActivated, onEditTextChanged","selection_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0012","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2647","ModernTextField","","String(root.activeNodeId || """")","","state_binding","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Control binding must evaluate in active context without runtime errors. Placeholder behavior must be replaced by live workflow implementation.","Control state/binding updates without side effects or stale state.","placeholder","P1","live"
"NP02-0013","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2678","ModernTextField","directorySearchInput","root.clientDirectoryQuery","onTextChanged","input_change","listClientDirectory","Reads client directory rows for listing/search.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0014","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2692","PillButton","","""All""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0015","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2706","PillButton","","""Active""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0016","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2826","ModernComboBox","profileClientCombo","profileClientCombo","onActivated, onEditTextChanged","selection_change","listClientNames|listClientDirectory|getClientProfile|saveClientProfile","Reads active client list for selectors. Reads client directory rows for listing/search. Reads full client profile payload for edit/view. Creates/updates client profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0017","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2844","PillButton","","""Load Profile""","onClicked","command","getClientProfile","Reads full client profile payload for edit/view.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P0","live"
"NP02-0018","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2855","PillButton","","""Edit Client""","onClicked","command","saveClientProfile","Creates/updates client profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0019","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2866","PillButton","","""Directory""","onClicked","command","listClientDirectory","Reads client directory rows for listing/search.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0020","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3041","PillButton","","""Any""","onClicked","command","searchGlobalEntities","Runs global entity search across clients/matters/keys.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0021","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3052","PillButton","","""Boolean""","onClicked","command","searchGlobalEntities","Runs global entity search across clients/matters/keys.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0022","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3261","ModernTextField","matterDirectorySearchInput","root.matterDirectoryQuery","onTextChanged","input_change","listMatterDirectory","Reads matter directory rows for listing/search.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0023","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3275","PillButton","","""All""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0024","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3289","PillButton","","""Active""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0025","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3409","ModernComboBox","profileMatterCombo","profileMatterCombo","onActivated, onEditTextChanged","selection_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0026","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3427","PillButton","","""Load Profile""","onClicked","command","getMatterProfile","Reads full matter profile payload for edit/view.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P0","live"
"NP02-0027","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3438","PillButton","","""Edit Matter""","onClicked","command","saveMatterProfile","Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0028","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3449","PillButton","","""Directory""","onClicked","command","listClientDirectory","Reads client directory rows for listing/search.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0029","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3651","ModernTextField","clientNameInput","clientNameInput","onTextChanged","input_change","listClientNames|listClientDirectory|getClientProfile|saveClientProfile","Reads active client list for selectors. Reads client directory rows for listing/search. Reads full client profile payload for edit/view. Creates/updates client profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0030","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3667","ModernTextField","legalNameInput","legalNameInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0031","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3687","ModernComboBox","entityTypeCombo","entityTypeCombo","onActivated, onEditTextChanged","selection_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0032","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3710","ModernComboBox","clientStatusCombo","clientStatusCombo","onActivated, onEditTextChanged","selection_change","listClientNames|listClientDirectory|getClientProfile|saveClientProfile","Reads active client list for selectors. Reads client directory rows for listing/search. Reads full client profile payload for edit/view. Creates/updates client profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0033","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3724","ModernTextField","principalNameInput","principalNameInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0034","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3744","ModernTextField","principalPositionInput","principalPositionInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0035","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3755","ModernTextField","primaryEmailInput","primaryEmailInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0036","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3771","ModernTextField","primaryPhoneInput","primaryPhoneInput","onEditingFinished, onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0037","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3783","ModernTextField","secondaryContactInput","secondaryContactInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0038","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3794","ModernTextField","secondaryPositionInput","secondaryPositionInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0039","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3805","ModernTextField","secondaryEmailInput","secondaryEmailInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0040","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3816","ModernTextField","secondaryPhoneInput","secondaryPhoneInput","onEditingFinished, onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0041","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3828","ModernComboBox","parentClientCombo","parentClientCombo","onActivated, onEditTextChanged","selection_change","listParentNames|saveClientProfile|saveMatterProfile","Reads parent client names for relational selectors. Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0042","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3841","ModernComboBox","onboardingCombo","onboardingCombo","onActivated, onEditTextChanged","selection_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0043","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3855","ModernTextField","addressLine1Input","addressLine1Input","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0044","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3866","ModernTextField","addressLine2Input","addressLine2Input","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0045","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3877","ModernTextField","cityInput","cityInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0046","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3887","ModernTextField","stateProvinceInput","stateProvinceInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0047","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3897","ModernTextField","postalCodeInput","postalCodeInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0048","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3907","ModernTextField","countryInput","countryInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0049","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3917","ModernTextField","websiteInput","websiteInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0050","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3928","ModernTextField","taxIdInput","taxIdInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0051","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3939","ModernTextField","industryInput","industryInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0052","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3950","ModernTextField","billingEmailInput","billingEmailInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0053","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3970","ModernComboBox","kycCombo","kycCombo","onActivated, onEditTextChanged","selection_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0054","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3984","ModernComboBox","retainerRequiredCombo","retainerRequiredCombo","onActivated, onEditTextChanged","selection_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0055","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","3998","ModernTextField","retainerAmountInput","""0.00""","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0056","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4010","ModernTextField","engagementStartInput","engagementStartInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0057","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4020","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0058","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4034","ModernTextField","dateClientAddedInput","Qt.formatDate(new Date(), ""yyyy-MM-dd"")","onTextChanged","input_change","listClientNames|listClientDirectory|getClientProfile|saveClientProfile","Reads active client list for selectors. Reads client directory rows for listing/search. Reads full client profile payload for edit/view. Creates/updates client profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0059","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4045","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0060","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4059","ModernTextField","birthdayInput","birthdayInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0061","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4069","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0062","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4083","ModernTextField","referralFromInput","referralFromInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0063","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4134","ModernTextField","matterNameInput","matterNameInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0064","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4150","ModernTextField","matterDisplayNameInput","matterDisplayNameInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0065","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4170","ModernTextField","matterNumberInput","matterNumberInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0066","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4188","PillButton","","""Auto""","onClicked","command","previewMatterNumber","Calculates suggested matter number from client/type/date.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0067","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4204","ModernComboBox","matterClientCombo","matterClientCombo","onActivated, onEditTextChanged","selection_change","listClientNames|listClientDirectory|getClientProfile|saveClientProfile","Reads active client list for selectors. Reads client directory rows for listing/search. Reads full client profile payload for edit/view. Creates/updates client profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0068","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4227","PillButton","","""New Client""","onClicked","command","saveClientProfile","Creates/updates client profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
